collection,collection_name,title,id,sizes_and_prices,photo
photo-frames,Photo Frames,Couple on Swing with customised Calendar and four photos,couple-on-swing-with-customised-calendar-and-four-photos,12 inch ring $250 | 14 inch ring $300,photo-frames/couple-on-swing-with-customised-calendar-and-four-photos.webp
photo-frames,Photo Frames,Photos with some line with black flower lace & pearls (3/4 photos can be customised with pearls),photos-with-some-line-with-black-flower-lace-pearls-3-4-photos-can-be-customised-with-pearls,10 inch ring $250 | 12 inch ring $275,photo-frames/photos-with-some-line-with-black-flower-lace-pearls-3-4-photos-can-be-customised-with-pearls.webp
photo-frames,Photo Frames,"One photo with floral border, name & some lines, black flower lace with pearls",one-photo-with-floral-border-name-some-lines-black-flower-lace-with-pearls,10 inch ring $175 | 12 inch ring $200,photo-frames/one-photo-with-floral-border-name-some-lines-black-flower-lace-with-pearls.webp
photo-frames,Photo Frames,"Double hoop photoframe with florals, names and dates",double-hoop-photoframe-with-florals-names-and-dates,10 inch ring $180 | 12 inch ring $220,photo-frames/double-hoop-photoframe-with-florals-names-and-dates.webp
photo-frames,Photo Frames,Hanging photos with name and some words,hanging-photos-with-name-and-some-words,10 inch ring $175 | 12 inch ring $200,photo-frames/hanging-photos-with-name-and-some-words.webp
photo-frames,Photo Frames,Memory Hoop,memory-hoop,10 inch ring $100 | 12 inch ring $150,photo-frames/memory-hoop.webp
thoughts,Some Thoughts,Customised thoughts on Handkerchief,customised-thoughts-on-handkerchief,12 × 12 inch $50,thoughts/customised-thoughts-on-handkerchief.webp
thoughts,Some Thoughts,Birthday wish with Heart Floral Theme,birthday-wish-with-heart-floral-theme,10 inch ring $150 | 12 inch ring $175,thoughts/birthday-wish-with-heart-floral-theme.webp
thoughts,Some Thoughts,Birthday wish with Heart Floral Theme,birthday-wish-with-heart-floral-theme-2,10 inch ring $150 | 12 inch ring $175,thoughts/birthday-wish-with-heart-floral-theme-2.webp
thoughts,Some Thoughts,Hoop for Mom,hoop-for-mom,10 inch ring $150 | 12 inch ring $175,thoughts/hoop-for-mom.webp
thoughts,Some Thoughts,Birthday hoop with Doll,birthday-hoop-with-doll,10 inch ring $175 | 12 inch ring $200,thoughts/birthday-hoop-with-doll.webp
thoughts,Some Thoughts,Rainbow and Cloud Theme,rainbow-and-cloud-theme,10 inch ring $190 | 12 inch ring $220,thoughts/rainbow-and-cloud-theme.webp
thoughts,Some Thoughts,Customised Makka Madina Theme,customised-makka-madina-theme,10 inch ring $200 | 12 inch ring $250,thoughts/customised-makka-madina-theme.webp
